"key","de"
"aufbau_anleitung.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"aufbau_themenkomplexe.t1_0","#{layout.H4_START} Themenkomplexe und Fragen #{layout.H4_END} "
"aufbau_themenkomplexe.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"aufbau_danksagung.t1_0","#{layout.H4_START} Danksagung und Informationen zum weiteren Ablauf #{layout.H4_END} "
"aufbau_danksagung.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"textsorten_start.t1_0","#{layout.H4_START} Textsorten #{layout.H4_END} "
"textsorten_start.t2_0"," #{layout.P_START} Das Befragungssystem hält verschiedene Funktionstexte mit jeweils spezifischer Formatierung vor. Sie strukturieren den Onlinefragebogen und sollen den Befragten ein möglichst einfaches Beantworten ermöglichen. Von den Standardformatierungen kann komplett oder in Teilen abgewichen werden. Für die Erstellung der Onlinebefragung stehen die folgenden Textsorten zur Verfügung: #{layout.BREAK} #{layout.UNORDEREDLIST_START} #{layout.LIST_ITEM_START} "
"textsorten_start.t2_1","Überschrift"
"textsorten_start.t2_2"," #{layout.LIST_ITEM_START} "
"textsorten_start.t2_3","Einleitung"
"textsorten_start.t2_4"," #{layout.LIST_ITEM_START} "
"textsorten_start.t2_5","Frage"
"textsorten_start.t2_6"," #{layout.LIST_ITEM_START} "
"textsorten_start.t2_7","Instruktion"
"textsorten_start.t2_8"," #{layout.LIST_ITEM_START} "
"textsorten_start.t2_9","Zusätzlicher Text"
"textsorten_start.t2_10"," #{layout.LIST_ITEM_START} "
"textsorten_start.t2_11","Antwortkategorie"
"textsorten_start.t2_12"," #{layout.LIST_ITEM_START} "
"textsorten_start.t2_13","Item"
"textsorten_start.t2_14"," #{layout.LIST_ITEM_END} #{UNORDEREDLIST_END} #{layout.P_END} "
"textsorten_ueberschrift.t1_0","#{layout.H4_START} Überschrift #{layout.H4_END} "
"textsorten_ueberschrift.t2_0"," #{layout.P_START} Möchten Sie die Fragen Ihrer Onlinebefragung nach Themen gliedern und diese explizit benennen, stehen Ihnen hierfür Überschriften zur Verfügung. Sie werden dann jeweils zuoberst auf der Befragungsseite angezeigt. Standardeinstellung für diese Textsorte ist: Schriftfarbe blau, Schriftbreite fett und Schriftlage normal. #{layout.BREAK} #{layout.BREAK} Die Umsetzung innerhalb einer Frage können Sie sich "
"textsorten_ueberschrift.t2_1","hier"
"textsorten_ueberschrift.t2_2"," ansehen. #{layout.P_END} "
"textsorten_einleitung.t1_0","#{layout.H4_START} Einleitung #{layout.H4_END} "
"textsorten_einleitung.t2_0"," #{layout.P_START} Möchten Sie einer Frage oder einem Fragekomplex einige erklärende Ausführungen voranstellen (z.B. um die Befragten auf das nun folgende Themengebiet vorzubereiten), können Sie eine entsprechende Einleitung bzw. Überleitung formulieren. Sie wird dann jeweils direkt vor der Frage angezeigt. Standardeinstellung für diese Textsorte ist: Schriftfarbe schwarz, Schriftbreite und Schriftlage normal #{layout.BREAK} #{layout.BREAK} Die Umsetzung innerhalb einer Frage können Sie sich "
"textsorten_einleitung.t2_1","hier"
"textsorten_einleitung.t2_2"," ansehen. #{layout.P_END} "
"textsorten_frage.t1_0","#{layout.H4_START} Frage #{layout.H4_END} "
"textsorten_frage.t2_0"," #{layout.P_START} Der Fragetext steht in der oberen Hälfte jeder Befragungsseite. Es ist nach der Kopfzeile meist das erste Element, dass die Befragten sehen, wenn sie die einzelnen Fragebogenwebseiten aufrufen. Standardeinstellung für diese Textsorte ist: Schriftfarbe schwarz, Schriftbreite fett und Schriftlage normal. #{layout.BREAK} #{layout.BREAK} Die Umsetzung innerhalb einer Frage können Sie sich "
"textsorten_frage.t2_1","hier"
"textsorten_frage.t2_2"," ansehen. #{layout.P_END} "
"textsorten_instruktion.t1_0","#{layout.H4_START} Instruktion #{layout.H4_END} "
"textsorten_instruktion.t2_0"," #{layout.P_START} Die Instruktion steht direkt unter dem Fragetext. Sie enthält eine Anleitung zur Beantwortung der Frage, die dazu dient, die Befragten über das richtige Vorgehen zu informieren und Beantwortungsfehler zu minimieren. Standardeinstellung für diese Textsorte ist: Schriftfarbe schwarz, Schriftbreite normal und Schriftlage kursiv. #{layout.BREAK} #{layout.BREAK} Die Umsetzung innerhalb einer Frage können Sie sich "
"textsorten_instruktion.t2_1","hier"
"textsorten_instruktion.t2_2"," ansehen. #{layout.P_END} "
"textsorten_text.t1_0","#{layout.H4_START} Zusätzlicher Text #{layout.H4_END} "
"textsorten_text.t2_0"," #{layout.P_START} Nach der Instruktion aber auch an vielen anderen gewünschten Positionen gibt es Raum für zusätzlichen Text. Standardeinstellung für diese Textsorte ist: Schriftfarbe schwarz, Schriftbreite und Schriftlage normal. #{layout.BREAK} #{layout.BREAK} Die Umsetzung innerhalb einer Frage können Sie sich "
"textsorten_text.t2_1","hier"
"textsorten_text.t2_2"," ansehen.#{layout.P_END} "
"textsorten_antwortkategorie.t1_0","#{layout.H4_START} Antwortkategorie #{layout.H4_END} "
"textsorten_antwortkategorie.t2_0"," #{layout.P_START} Antwortkategorien werden je nach Fragetyp horizontal oder vertikal abgetragen. Bei der "
"textsorten_antwortkategorie.t2_1","Einfachauswahl"
"textsorten_antwortkategorie.t2_2"," und "
"textsorten_antwortkategorie.t2_3","Mehrfachauswahl"
"textsorten_antwortkategorie.t2_4"," werden sie zeilenweise untereinander gelistet. Sie können nach übergeordneten Kategorien gruppiert und mit entsprechenden Zwischenüberschriften versehen werden. Es können alle oder nur ein Teil der Antwortkategorien benannt und zusätzlich mit numerischen Werten versehen werden. Standardeinstellung für die Darstellung der Antwortkategorien ist: Schriftfarbe schwarz, Schriftbreite und Schriftlage normal. #{layout.BREAK} #{layout.BREAK} Bei der "
"textsorten_antwortkategorie.t2_5","Matrix"
"textsorten_antwortkategorie.t2_6",", "
"textsorten_antwortkategorie.t2_7","Doppelmatrix"
"textsorten_antwortkategorie.t2_8","und dem "
"textsorten_antwortkategorie.t2_9","semantischen Differenzial"
"textsorten_antwortkategorie.t2_10"," werden die Antwortkategorien spaltenweise nebeneinander gelistet und gegebenenfalls mit einer Überschrift versehen. Auch hier können alle oder nur Teile der Antwortkategorien benannt sowie zusätzlich mit numerischen Werten versehen werden. Standardeinstellung für diese Darstellung der Antwortkategorien ist: Schriftfarbe schwarz, Schriftbreite fett und Schriftlage normal. #{layout.BREAK} #{layout.BREAK} Die Umsetzung innerhalb einer Frage können Sie sich "
"textsorten_antwortkategorie.t2_11","hier"
"textsorten_antwortkategorie.t2_12"," und "
"textsorten_antwortkategorie.t2_13","hier"
"textsorten_antwortkategorie.t2_14"," ansehen. #{layout.P_END} "
"textsorten_item.t1_0","#{layout.H4_START} Item #{layout.H4_END} "
"textsorten_item.t2_0"," #{layout.P_START} Items thematisieren Teilaspekte einer Frage und werden bei den Fragetypen "
"textsorten_item.t2_1","Matrix"
"textsorten_item.t2_2",", "
"textsorten_item.t2_3","Doppelmatrix"
"textsorten_item.t2_4"," und "
"textsorten_item.t2_5","semantisches Differenzial"
"textsorten_item.t2_6"," nacheinander aufgeführt. Im Zuge der Beantwortung wird jedem Item der Wert der gewählten Antwortkategorie zugeordnet und im Datensatz abgespeichert. Auch sie können nach übergeordneten Sinneinheiten gruppiert und mit entsprechenden Zwischenüberschriften versehen werden. Standardeinstellung für die Darstellung von Items ist: Schriftfarbe schwarz, Schriftbreite und Schriftlage normal. #{layout.BREAK} #{layout.BREAK} Die Umsetzung innerhalb einer Frage können Sie sich "
"textsorten_item.t2_7","hier"
"textsorten_item.t2_8"," ansehen. #{layout.P_END} "
"textsorten_beispiel_1.t1_0","#{layout.H4_START} Überschrift #{layout.H4_END} "
"textsorten_beispiel_1.intro1_0","#{layout.BREAK} Einleitung #{layout.BREAK} #{layout.BREAK} #{layout.BREAK} "
"textsorten_beispiel_1.b.sc1.q1_0","Frage"
"textsorten_beispiel_1.b.sc1.i1_0","Instruktion "
"textsorten_beispiel_1.b.sc1.text1_0","zusätzlicher Text "
"textsorten_beispiel_1.b.sc1.rd1.u1.t1_0","Zwischenüberschrift 1"
"textsorten_beispiel_1.b.sc1.rd1.u1.ao1.label","Antwortkategorie 1"
"textsorten_beispiel_1.b.sc1.rd1.u1.ao2.label","Antwortkategorie 2"
"textsorten_beispiel_1.b.sc1.rd1.u1.ao3.label","Antwortkategorie 3"
"textsorten_beispiel_1.b.sc1.rd1.u2.t2_0","#{layout.BREAK}Zwischenüberschrift 2 "
"textsorten_beispiel_1.b.sc1.rd1.u2.ao4.label","Antwortkategorie 4"
"textsorten_beispiel_1.b.sc1.rd1.u2.ao5.label","Antwortkategorie 5"
"textsorten_beispiel_1.b.sc1.rd1.u2.ao6.label","Antwortkategorie 6"
"textsorten_beispiel_2.t1_0","#{layout.H4_START} Überschrift #{layout.H4_END} "
"textsorten_beispiel_2.intro1_0","#{layout.BREAK} Einleitung #{layout.BREAK} #{layout.BREAK} #{layout.BREAK} "
"textsorten_beispiel_2.b.msc1.q1_0","Frage"
"textsorten_beispiel_2.b.msc1.i1_0","Instruktion "
"textsorten_beispiel_2.b.msc1.text1_0","zusätzlicher Text "
"textsorten_beispiel_2.b.msc1.rd1.sct_0","Überschrift"
"textsorten_beispiel_2.b.msc1.rd1.t1_0","Antwortkategorie 1 "
"textsorten_beispiel_2.b.msc1.rd1.t2_0","Antwortkategorie 2 "
"textsorten_beispiel_2.b.msc1.rd1.t3_0","Antwortkategorie 3 "
"textsorten_beispiel_2.b.msc1.rd1.u1.t1_0","Zwischenüberschrift 1"
"textsorten_beispiel_2.b.msc1.rd1.u1.i1.q2_0","Item 1"
"textsorten_beispiel_2.b.msc1.rd1.u1.i2.q3_0","Item 2"
"textsorten_beispiel_2.b.msc1.rd1.u1.i3.q4_0","Item 3"
"textsorten_beispiel_2.b.msc1.rd1.u2.t2_0","Zwischenüberschrift 2"
"textsorten_beispiel_2.b.msc1.rd1.u2.i4.q5_0","Item 4"
"textsorten_beispiel_2.b.msc1.rd1.u2.i5.q6_0","Item 5"
"textsorten_beispiel_2.b.msc1.rd1.u2.i6.q7_0","Item 6"
"fragetypen_start.t1_0","#{layout.H4_START} Fragetypen und Formatoptionen #{layout.H4_END} "
"fragetypen_start.t2_0"," #{layout.P_START} Das Befragungsystem Zofar unterstützt sowohl offene als auch geschlossene Fragen. Die Entscheidung für oder gegen einen Fragetyp ist abhängig von Ihrer jeweiligen Forschungsintention. #{layout.BREAK} #{layout.BREAK} Bei "
"fragetypen_start.t2_1","offenen Fragen"
"fragetypen_start.t2_2"," formulieren die Befragten ihre Antworten selbst. Offene Fragen stellen dadurch gewisse kognitive Anforderungen an die Befragten und verlangen ein entsprechendes Maß an Erinnerungs- und Darstellungsvermögen (Lehmann 2001: 25). Sie eignen sich besonders zur Gewinnung von Informationen über einen neuartigen Befragungsgegenstand bei dem das Spektrum möglicher Antwortoptionen nicht bekannt ist oder die Beantwortung seitens der Befragten möglichst wenig gelenkt werden soll (Porst 2008: 64). Die Analyse der über offene Fragen gewonnenen Daten kann nicht automatisiert werden. Der Zusatzaufwand für die nachträglich erfoderliche Datenbereinigung und Kodierung variiert stark mit der Fallzahl. #{layout.BREAK} #{layout.BREAK} Bei geschlossenen Fragen werden die möglichen Antworten bereits vorformuliert und sind dadurch weniger abhängig von der Artikulationsfähigkeit der Befragten (Schnell et al. 2008: 332). Sie müssen sich hier lediglich für eine oder mehrere Antwortoptionen aus dem vorgegebenen Rahmen entscheiden. Geschlossene Fragen verlangen jedoch vom Befragten mehr Wiedererkennungsvermögen, d.h. auch den Abruf internalisierter Sinnzusammenhänge; ihre Vorzüge liegen in der hohen Vergleichbarkeit der Antworten und der damit verbundenen Möglichkeit zur unmittelbaren Auswertung (Lehmann 2001: 25f.). Ihr Einsatz wird empfohlen, wenn der eigentliche Sachverhalt sowie das gesamte Spektrum möglicher Antwortoptionen bekannt ist und den Befragten zur Selektion vorgelegt wird (Porst 2008: 58ff.). Wir bieten sieben verschiedene geschlossene Fragetypen an: "
"fragetypen_start.t2_3","Einfachauswahl"
"fragetypen_start.t2_4"," , "
"fragetypen_start.t2_5","Mehrfachauswahl"
"fragetypen_start.t2_6"," , "
"fragetypen_start.t2_7","Matrix"
"fragetypen_start.t2_8"," , "
"fragetypen_start.t2_9","Doppelmatrix"
"fragetypen_start.t2_10"," , "
"fragetypen_start.t2_11","semantisches Differenzial"
"fragetypen_start.t2_12"," und "
"fragetypen_start.t2_13","Kalendarium"
"fragetypen_start.t2_14"," . #{layout.BREAK} #{layout.BREAK} Zofar bietet Ihnen zusätzlich die Option, offene und geschlossene Fragen zu kombinieren, das heisst sogenannte Hybridfragen zu stellen. Dadurch können u.a. Zusatzinformationen zu Restkategorien - wie ""Sonstiges"" - gewonnen werden, die den Befragten zur Beantwortung ebenfalls angeboten werden, damit sie aus erschöpfenden Antwortkategorien wählen können. #{layout.BREAK} #{layout.BREAK} Darüber hinaus können Sie Ihre Befragung um "
"fragetypen_start.t2_15","Kommentarfelder"
"fragetypen_start.t2_16"," ergänzen. #{layout.P_END} "
"fragetypen_offene_frage.t1_0","#{layout.H4_START} Offene Frage #{layout.H4_END} "
"fragetypen_offene_frage.t2_0"," #{layout.P_START} Eingabefelder dienen der Erfassung von Antworten auf offene Fragen. Mittels Tastatur können die Befragten ihre selbstformulierten Antworten abgeben. Die im Rohdatensatz gespeicherten Antworten auf offene Fragen müssten im Zuge der Datenaufbereitung manuell geprüft und gegebenenfalls rekodiert werden, eine Automatisierung dieser Prozesse kann nicht angeboten werden. #{layout.BREAK} #{layout.BREAK} Anschauungsbeispiel: #{layout.BREAK} #{layout.UNORDEREDLIST_START} #{layout.LIST_ITEM_START} "
"fragetypen_offene_frage.t2_1","Offene Frage"
"fragetypen_offene_frage.t2_2"," #{layout.LIST_ITEM_END} #{UNORDEREDLIST_END} #{layout.P_END} "
"fragetypen_offene_frage.t3_0"," #{layout.P_START} #{layout.BREAK} #{layout.BREAK} TIPP: #{layout.BREAK} #{layout.UNORDEREDLIST_START} #{layout.LIST_ITEM_START} Um die Datenqualität zu optimieren, bieten sich eine Reihe von Möglichkeiten zur Steuerung des Befragungsverhaltens. Wir empfehlen, den Fragetext um eine "
"fragetypen_offene_frage.t3_1","Instruktion"
"fragetypen_offene_frage.t3_2"," zur Beantwortung zu ergänzen. Zusätzlich können Sie die Größe des Eingabefeldes begrenzen sowie Präfixe und Suffixe verwenden. Eine "
"fragetypen_offene_frage.t3_3","Antwortvalidierung"
"fragetypen_offene_frage.t3_4"," (z.B. für das erwartete Format, wie Zahlen anstatt Text oder bestimmte Wertebereiche von Zahlen) ist möglich, erfolgt jedoch erst beim Seitenwechsel. #{layout.BREAK} #{layout.BREAK} #{layout.LIST_ITEM_END} #{UNORDEREDLIST_END} #{layout.P_END} "
"fragetypen_offene_frage_beispiel.b.oq1.q_0","Im wievielten Hochschulsemester befinden Sie sich derzeit? "
"fragetypen_offene_frage_beispiel.b.oq1.ins_0","Hochschulsemester sind alle Semester, die Sie bisher insgesamt an Hochschulen, Fachhochschulen etc. studiert haben, einschließlich Urlaubs-, Auslands- und Praxissemester. #{layout.BREAK} #{layout.BREAK} "
"fragetypen_offene_frage_beispiel.b.oq1.l1_0","Ich befinde mich im "
"fragetypen_offene_frage_beispiel.b.oq1.l2_0",". Hochschulsemester."
"fragetypen_offene_frage_beispiel.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Offene Frage #{layout.BREAK} Quelle: Universität Konstanz, 13. Studierendensurvey, 2015/16, geänderte Fassung #{layout.SOURCECODE_END} "
"fragetypen_einfachauswahl.t1_0","#{layout.H4_START} Einfachauswahl #{layout.H4_END} "
"fragetypen_einfachauswahl.t2_0"," #{layout.P_START} Die Einfachauswahl ist ein Fragetyp, bei der die Befragten horizontal oder vertikal abgetragene Antwortkategorien präsentiert bekommen. Als Auswahlfelder werden sogenannte Radiobuttons eingesetzt, bei denen nur maximal eine unter mehreren, sich gegenseitig ausschließenden Antworten ausgewählt werden kann. Sie werden mit einem schwarzen Kreis dargestellt, der im Zustand der Nicht-Selektion eine helle, ebenfalls kreisrunde Innenfläche besitzt. Im Zuge der Selektion wechselt diese ihre Farbe zu schwarz. Sowohl die Radiobuttons als auch der Text der Antwortkategorien sind aktive Steuerelemente; ein Anklicken führt zur Auswahl. Initial ist zumeist keine Antwort selektiert. Wird eine Kategorie ausgewählt, kann dieser neutrale Initialzustand nicht mehr wiederhergestellt werden. Ursächlich hierfür ist das dahinterliegende Schaltungskonzept eines Radiobuttons, das auf der Technik früherer Abspielgeräte (man denke bspw. an den einrastenden PLAY-Schalter von Kassettenrecordern, der nur über das Drücken eines anderen Schalters gelöst werden kann) basiert. Nielsen 2004 empfiehlt, immer auch eine neutrale Antwortoption ""none"" bzw. ""nichts von alledem"" anzubieten anstelle den Befragten zu überlassen, keine Antwortoption auszuwählen, da letzteres der Logik des gewünschten Befragungsverhaltens („Bitte wählen Sie die auf Sie zutreffenden Antwortoption aus.“) widerspricht. #{layout.BREAK} #{layout.BREAK} Die vorgegebenen Antwortkategorien können um offene Eingabefelder ergänzt und im Zuge dessen konkretisiert werden (siehe zu Hybridfragen: "
"fragetypen_einfachauswahl.t2_1","Fragetypen und Formatoptionen"
"fragetypen_einfachauswahl.t2_2"," und "
"fragetypen_einfachauswahl.t2_3","offene Frage"
"fragetypen_einfachauswahl.t2_4","). Eine Eingabe in dieses Feld führt automatisch zur Auswahl des Radiobuttons der entsprechenden Antwort. Kategorien für fehlende Werte, wie ""nichts von alledem"", ""keine Angabe"", ""weiß nicht"" oder ""trifft nicht zu"", können sowohl in der horizontalen als auch in der vertikalen Anordnung abgesetzt, d.h. mit Lücke zu den gültigen Werten, dargestellt werden, damit sie nicht mit Skalenpunkten verwechselt werden (Tourangeou et al. 2004). #{layout.BREAK} #{layout.BREAK} Varianten der Einfachauswahl sind die Einfachauswahl als Leiste und mit Dropdown-Menü. Die Antwortalternativen werden bei einem Dropdown-Menü durch das Anklicken eines ""bitte auswählen""-Buttons untereinander eingeblendet und erst dadurch für die Befragten sichtbar. Solche Listen werden hauptsächlich eingesetzt, wenn aus einer Vielzahl an Antwortkategorien gewählt werden soll (z.B. bei der Erhebung von Geburtsländern oder Berufen; Theobald 2000: 81). #{layout.BREAK} #{layout.BREAK} Anschauungsbeispiele: #{layout.BREAK} #{layout.UNORDEREDLIST_START} #{layout.LIST_ITEM_START} "
"fragetypen_einfachauswahl.t2_5","Vertikale Einfachauswahl"
"fragetypen_einfachauswahl.t2_6"," #{layout.LIST_ITEM_END} #{layout.LIST_ITEM_START} "
"fragetypen_einfachauswahl.t2_7","Horizontale Einfachauswahl"
"fragetypen_einfachauswahl.t2_8"," #{layout.LIST_ITEM_END} #{layout.LIST_ITEM_START} "
"fragetypen_einfachauswahl.t2_9","Einfachauswahl als vertikale Leiste"
"fragetypen_einfachauswahl.t2_10"," #{layout.LIST_ITEM_END} #{layout.LIST_ITEM_START} "
"fragetypen_einfachauswahl.t2_11","Einfachauswahl als horizontale Leiste"
"fragetypen_einfachauswahl.t2_12"," #{layout.LIST_ITEM_END}#{layout.LIST_ITEM_START} "
"fragetypen_einfachauswahl.t2_13","Einfachauswahl mit Dropdown-Menü"
"fragetypen_einfachauswahl.t2_14"," #{layout.LIST_ITEM_END} #{UNORDEREDLIST_END} #{layout.P_END} "
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.question1_0"," In welchem Bundesland liegt Ihre Wunschhochschule? "
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.instruction1_0"," Bitte wählen Sie aus der untenstehenden Liste eine Antwortoption aus. "
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u1.t1_0"," Neue Bundesländer "
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u1.ao1.label","Brandenburg"
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u1.ao2.label","Mecklenburg-Vorpommern"
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u1.ao3.label","Sachsen"
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u1.ao4.label","Sachsen-Anhalt"
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u1.ao5.label","Thüringen"
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u2.t2_0","#{layout.BREAK} Alte Bundesländer "
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u2.ao6.label","Baden-Württemberg"
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u2.ao7.label","Bayern"
"fragetypen_einfachauswahl_beispiel_1.body.SingleChoice1.rdc.u2.ao8.label","Berlin"
